"Subject","SB_score"
11444596,6
11444677,4
11445019,6.5
11445142,4
11445549,5
11445653,9.5
11445660,5
11445757,7.5
11445835,5
11445923,6
11445997,4.5
11446194,5
11446448,10
11446449,6
11446458,2
11446466,4.5
11446528,5.5
11446586,4.5
11446646,5
11446697,5
11446728,4.5
11446750,5
11446756,6
11446838,5
11446864,7.5
11447047,5
11447109,4.5
11447166,4.5
11447178,5
11447185,4.5
11447232,4
11447256,5.5
11447269,5
11447318,3.5
11447379,4
11447391,5
11447407,5
11447419,4
11447452,4
11447475,5
11447530,5
11447607,6
11447733,3.5
11447737,5
11447757,3
11447765,5
11447780,2
11447781,3.5
11447883,5
11447889,6
11447980,2.5
11448073,5
11448163,6
11448301,9
11448464,6
11448668,8
11448714,5
11448796,6
11448801,4.5
11449403,8
11449423,7
11449703,4
11449937,4.5
11449982,4
11450022,4
11450023,4
11450036,6
11450168,5.5
11450364,5
11450369,5.5
11450371,4.5
11450397,5.5
11450411,6
11450440,5
11450516,4
11450999,4.5
11451138,5.5
11451183,6
11451228,4
11451230,6.5
11451293,5.5
11451301,3.5
11453480,5
11453514,8.5
11453515,5
11453521,2.5
11453523,2
11453546,6
11453548,7.5
11453552,4
11453559,5
11453569,2.5
11453587,6
11453745,5
11453761,6
11453919,6
11453946,5.5
11453962,4
11453983,5
11453997,5.5
11454014,5
11454115,3.5
11454141,4.5
11454197,5
11454257,5
11454290,4
11454378,4
11454681,5
11454699,5.5
11454708,6.5
11454752,4
11454791,6
11454825,4
11454904,5
11454939,7.5
11454953,3.5
11454962,2.5
11455044,5
11455063,4
11455273,5.5
11455283,9.5
11455310,9
11455537,4.5
11455544,5.5
11455685,4
11455690,4.5
11455752,4.5
11455882,4
11455890,4
11455906,6
11455971,5
11455985,4.5
11455989,4
11455994,5.5
11456051,5.5
11456115,2
11456120,5
11456155,4.5
11456168,6
11456170,6.5
11456185,6.5
11456279,2.5
11456284,7
11456318,4
11456337,5.5
11456462,6
11456556,4.5
11456596,4.5
11456601,5
11456641,2
11456643,4
11456795,4.5
11456800,5
11456894,4
11456934,5
11457018,4.5
11457060,5
11457081,5
11457138,9
11457161,4.5
11457203,4
11457215,5.5
11457249,5
11457281,5
11457412,5
11457415,4.5
11457459,5
11457475,5
11457487,8.5
11457491,5
11457556,4.5
11457639,5
11457650,5
11457661,5
11457740,4
11457772,4
11457949,4.5
11458033,3
11458075,5
11458138,4
11458192,4
11458237,8.5
11458238,3.5
11458300,10
11458316,3.5
11458325,5
11458354,4.5
11458413,4.5
11458467,5.5
11458498,3.5
11458500,4
11458503,5
11458517,3
11458542,4
11458591,4.5
11458607,4
11458618,2.5
11458662,6.5
11458667,5
11458697,5
11458708,4.5
11458758,6.5
11458772,4
11458773,5.5
11458881,4.5
11458900,5
11458910,3.5
11458918,4.5
11458995,2.5
11459149,4.5
11459207,4
11459258,3.5
11459350,1.5
11460043,3
11460044,5
11461169,5
11461252,6.5
11461502,3.5
11461628,2.5
11461674,4
11461687,5
11461904,4
11462090,6.5
11462197,3.5
11462204,4
11462346,3
11462404,7
11462467,7
11462477,4
11462641,4.5
11462672,4.5
11462687,4.5
11462745,6
11462816,5
11462819,5.5
11462936,4
11463181,4.5
11463200,4
11463586,4
11463814,4
11463982,4
11464842,2
11475888,5
11475922,5.5
11475965,3.5
11476002,5
11476020,6.5
11476257,6
11476494,5
